"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","16016","389","7111","16801","1182"
"02","14187","335","6266","15010","979"
"03","17465","409","7810","17342","1309"
"04","18031","380","8063","18186","1546"
"05","19686","420","8861","19198","1617"
"06","18329","436","8007","18067","1599"
"07","18441","444","8144","18735","1508"
"08","18691","412","8310","19260","1620"
"09","17806","430","7741","17666","1531"
"10","19797","499","8915","18905","1687"
"11","19396","479","8508","18926","1552"
"12","17509","459","7625","17691","1433"
