기준연월,사고건수,사망자수,부상자수
2017년02,2,0,2
2017년03,4,0,4
2017년04,4,0,5
2017년05,15,0,16
2017년06,7,1,8
2017년07,13,1,14
2017년08,17,1,17
2017년09,15,0,16
2017년10,18,0,20
2017년11,18,1,18
2017년12,4,0,4
2018년01,8,0,8
2018년02,8,0,8
2018년03,3,0,3
2018년04,16,0,20
2018년05,15,0,15
2018년06,17,0,18
2018년07,33,0,33
2018년08,28,2,28
2018년09,34,2,33
2018년10,23,0,27
2018년11,19,0,19
2018년12,21,0,26
2019년01,10,0,10
2019년02,13,1,13
2019년03,14,0,15
2019년04,19,0,19
2019년05,48,1,49
2019년06,40,0,44
2019년07,47,2,48
2019년08,61,0,67
2019년09,44,2,50
2019년10,60,1,65
2019년11,51,0,54
2019년12,40,1,39
2020년01,22,0,27
2020년02,36,1,36
2020년03,31,0,36
2020년04,56,1,63
2020년05,67,0,77
2020년06,63,1,68
2020년07,98,1,103
2020년08,86,0,96
2020년09,109,0,120
2020년10,163,4,184
2020년11,110,2,116
2020년12,56,0,59
2021년01,55,1,60
2021년02,51,2,56
2021년03,133,1,143
2021년04,173,0,201
2021년05,166,0,186
2021년06,167,2,179
2021년07,186,2,199
2021년08,181,1,197
2021년09,184,2,206
2021년10,174,4,189
2021년11,152,2,164
2021년12,113,2,121
